name,msg,time,link,length,expmsg
Митин Игорь,Одновременно попытка вставки картинки и вопрос.,2000-05-18 15:44:25,https://vif2ne.org/nvk/forum/archive/words/1026?text=,2.54K,"Вопрос всего один - что _ЭТО_ может быть такое? Найдено 2 таких девайса в разное время в разных (относительно) местах. Примерное..."""
Novik,Re: Можно парочку пунктов?,2000-05-18 19:09:52,https://vif2ne.org/nvk/forum/archive/words/1023?text=,2.04K,"Приветствую.>Кстати, тут начал собирать список РЕАЛЬНЫХ ошибок в""Ледоколе"", некоторые действительнго попада..."""
Дилетант,Re: Можно парочку пунктов?,2000-05-18 19:17:01,https://vif2ne.org/nvk/forum/archive/words/1024?text=,2.57K,">Приветствую.>>Кстати, тут начал собирать список РЕАЛЬНЫХ ошибок в""Ледоколе"", некоторые действительнго попа..."""
A. Lee,Кого не устраивает действующая палитра?,2000-05-18 19:42:01,https://vif2ne.org/nvk/forum/archive/words/1098?text=,2.91K,"..."""
A. Lee,Меня устраивает! Ой какая классная палитра!,2000-05-18 19:51:14,https://vif2ne.org/nvk/forum/archive/words/1099?text=,1.90K,"..."""
Novik,Re: Сам себя не похвалишь - никто не похвалит :),2000-05-18 21:49:02,https://vif2ne.org/nvk/forum/archive/words/1100?text=,1.61K,"Ленивец :)..."""
S.Chaban,Несколько замечаний:,2000-05-18 23:05:20,https://vif2ne.org/nvk/forum/archive/words/1000?text=,3.98K,"Привет!- Когда нет новых сообщений при выборе ""Показать только новые"" висит последняя старая ветка. Нельзя ли вместо его..."""
МиГ-31,Re: Меня устраивает! Ой какая классная палитра!,2000-05-19 08:42:25,https://vif2ne.org/nvk/forum/archive/words/1101?text=,1.75K,"Ну просто потрясающая поллитра...!!!С уважением, МиГ-31...."""
Novik,Re: Несколько замечаний:,2000-05-19 11:36:45,https://vif2ne.org/nvk/forum/archive/words/1001?text=,4.45K,"Приветствую.>Привет!>- Когда нет новых сообщений при выборе ""Показать тольк..."""
Митин Игорь,Ну так что? (+),2000-05-19 16:03:57,https://vif2ne.org/nvk/forum/archive/words/1027?text=,1.68K,"Неужели никто никаких предположений не выскажет? А?С уважением, Митин Игорь...."""
tevolga,Re: Несколько замечаний:,2000-05-19 16:05:51,https://vif2ne.org/nvk/forum/archive/words/1002?text=,2.42K,">>- Тело сообщения теряеться под шапкой и темой. Лучше всего шапка сделана на старом ВИФе, по моему. Кстати, шр..."""
tevolga,И у мен,2000-05-19 16:08:21,https://vif2ne.org/nvk/forum/archive/words/1011?text=,1.77K,">- Сделать опцию на показ кнопок вверху графикой или текстомПолностью согласен. Текст необхо..."""
Novik,Re: Несколько замечаний:,2000-05-19 16:12:22,https://vif2ne.org/nvk/forum/archive/words/1003?text=,2.06K,"Приветствую.>Я бы заголовок сообщения в левом окне выделял цветом.Это в дереве что-ли? Т..."""
tevolga,Re: Несколько замечаний:,2000-05-19 16:15:03,https://vif2ne.org/nvk/forum/archive/words/1004?text=,2.04K,">Приветствую.>>Я бы заголовок сообщения в левом окне выделял цветом.>>Э..."""
Novik,Re: Несколько замечаний:,2000-05-19 16:42:02,https://vif2ne.org/nvk/forum/archive/words/1005?text=,1.97K,"Приветствую.>>Приветствую.>>>>Я бы заголовок сообщения в левом окне выделял цветом.>>>>Это ..."""
S.Chaban,Re: Несколько замечаний:,2000-05-19 18:20:04,https://vif2ne.org/nvk/forum/archive/words/1006?text=,3.83K,"Привет!Спасибо за ответ>>- Тело сообщения теряеться под шапкой и темой. Лучше всего шапка сделана н..."""
Novik,Re: Несколько замечаний:,2000-05-19 18:53:08,https://vif2ne.org/nvk/forum/archive/words/1007?text=,3.29K,"Приветствую.>Привет!>Дело в том что шрифт уж очень большой и даже маленький заголовок сьедает 3 строки...."""
S.Chaban,Re: Несколько замечаний:,2000-05-19 19:15:35,https://vif2ne.org/nvk/forum/archive/words/1008?text=,3.13K,"Привет!>>>>- Сделать опцию на показ кнопок вверху графикой или текстом>>>Неважно, мне главное ч..."""
Дилетант,Новику по оформлению...,2000-05-19 21:51:14,https://vif2ne.org/nvk/forum/archive/words/1015?text=,2.51K,"Новик, может все-таки не подчеркивать название каждого сообщения......"""
Novik,Re: Новику по оформлению...,2000-05-19 22:13:34,https://vif2ne.org/nvk/forum/archive/words/1016?text=,2.46K,"Приветствую.>Новик, может все-таки не подчеркивать название каждого сообщения...Ничего не понима..."""
Novik,Re: Несколько замечаний:,2000-05-19 22:15:45,https://vif2ne.org/nvk/forum/archive/words/1009?text=,1.93K,"Приветствую.>Понял. Я еще не слишком надоел? :) Тогда предлагаю вариант проверки ОС браузера. Не думаю ..."""
Дилетант,Re: Новику по оформлению...,2000-05-19 22:18:54,https://vif2ne.org/nvk/forum/archive/words/1017?text=,2.67K,">Приветствую.>>Новик, может все-таки не подчеркивать название каждого сообщения..."
Novik,Re: Новику по оформлению...,2000-05-19 22:22:02,https://vif2ne.org/nvk/forum/archive/words/1018?text=,2.23K,">Понял. Дам класс, чтобы не подчеркивалось... Вот для примера Да я не про то... Как сделать ..."""
Дилетант,Re: Новику по оформлению...,2000-05-19 22:30:23,https://vif2ne.org/nvk/forum/archive/words/1019?text=,2.34K,">>Да я не про то... Как сделать то я знаю. Но боюсь, народ не поймет - везде по жизни они подчеркиваютс..."""
МиГ-31,Re: Несколько замечаний:,2000-05-20 02:36:35,https://vif2ne.org/nvk/forum/archive/words/1010?text=,1.69K,">Куда? В порно.ру :-)С уважением, МиГ-31...."""
МиГ-31,Re: oпытнaя эксплуaтaци,2000-05-21 05:32:09,https://vif2ne.org/nvk/forum/archive/words/1012?text=,1.78K,">Приветствую.>И еще некоторое время такой будет - по крайней мере, недели 2-3. Да и архивы я пока не сделал..."""
tevolga,Технический вопрос,2000-05-22 15:44:05,https://vif2ne.org/nvk/forum/archive/words/1013?text=,1.90K,"А что за цифры в атрибутах послания в скобках? Одна похоже объем, а вторая?Нет ли смысла еще указывать сколько посланий в ни..."""
Novik,Re: А другая - количество прочтений.,2000-05-22 18:27:06,https://vif2ne.org/nvk/forum/archive/words/1014?text=,1.83K,"Приветствую.>А что за цифры в атрибутах послания в скобках? Одна похоже объем, а вторая?>Нет ли смысла ..."""
Novik,Re: Сделал (-),2000-05-22 18:28:20,https://vif2ne.org/nvk/forum/archive/words/1020?text=,1.66K,"..."""
Siberiаn,Гыгыгы - палитра надо сказать военно-полевая!!!!!!!!!!!))))))))),2000-05-23 20:16:42,https://vif2ne.org/nvk/forum/archive/words/1102?text=,1.64K,"..."""
Дилетант,Re: Сделал,2000-05-23 22:10:53,https://vif2ne.org/nvk/forum/archive/words/1021?text=,1.60K,"Здорово.Теперь,то, что надо......."""
Капитан,А как насчет Пинской ВФ? (-),2000-05-24 11:07:40,https://vif2ne.org/nvk/forum/archive/words/1025?text=,1.63K,"Ю..."""
Partizan,Re: Одновременно попытка вставки картинки и вопрос.,2000-05-24 14:18:59,https://vif2ne.org/nvk/forum/archive/words/1028?text=,2.44K,">Вопрос всего один - что _ЭТО_ может быть такое? Найдено 2 таких девайса в разное время в разных (относительно)..."""
Следопыт,Re: Медельон!?!?,2000-05-24 14:37:19,https://vif2ne.org/nvk/forum/archive/words/1029?text=,1.88K,"Ну если честно, то помоему в одно время и в одном месте, но это принципиально ни чего не меняет. Тогда почему в ""умных книжках"" ..."""
Митин Игорь,"Да, вот и меня сомнения берут! (-)",2000-05-24 14:51:55,https://vif2ne.org/nvk/forum/archive/words/1030?text=,1.86K,">Ну если честно, то помоему в одно время и в одном месте, но это принципиально ни чего не меняет. Тогда почему ..."""
Х-55,Новику - об линке на форум.,2000-05-28 20:16:03,https://vif2ne.org/nvk/forum/archive/words/1031?text=,2.11K,"Простите за глупый вопрос, но я почему-то могу войти на форум только через:"
Максим,Форум,2000-05-29 02:15:50,https://vif2ne.org/nvk/forum/archive/words/1033?text=,2.13K,"Уважаемый Novic! Извините, что обращаюсь к Вам через форум, но ,к сожалению, ссылка ""вебмастер""  тут пока не установлена. Мне по..."""
Максим,Re:,2000-05-29 02:19:37,https://vif2ne.org/nvk/forum/archive/words/1034?text=,1.64K,"Мой мэйл katera@newmail.ru (при регистрации я его указал, но в форуме он не появился?)..."""
Novik,Re: Новику - об линке на форум.,2000-05-29 13:44:32,https://vif2ne.org/nvk/forum/archive/words/1032?text=,2.19K,"Приветствую.>Простите за глупый вопрос, но я почему-то могу войти на форум только через:>  "
Novik,Re: Форум,2000-05-29 17:12:08,https://vif2ne.org/nvk/forum/archive/words/1035?text=,1.85K,"Услал почтой, повторю здесь.Коротенько: это не скрипт. Это отдельный http сервер (exe) написанныйпод NT. Есть порт п..."""
Venik,"Новику, Алексу, и пр.",2000-10-06 01:27:20,https://vif2ne.org/nvk/forum/archive/words/1036?text=,2.23K,"Заглянул на КЛИН. Ну и что это за фигня? Где последние интернетовские технологии, где художественное оформление, и где создатель..."""
Novik,Re: ну я же говорил...,2000-10-06 12:41:32,https://vif2ne.org/nvk/forum/archive/words/1037?text=,1.78K,"Приветствую.Что оформление главной страницы - некондиционное. Единственной целью ее существования в данный момент является с..."""
Vadim~,Vopros po registratsii,2000-10-06 18:37:57,https://vif2ne.org/nvk/forum/archive/words/1041?text=,2.62K,"Yvazhaemij Novik,Ya tyt slegka opeshil, kogda vnezapnopo adresy www.vif2.ru popal vokno ""registratsiya""...."""
